frame,r_knee_angle,r_hip_angle,r_ankle_angle,l_knee_angle,l_hip_angle,l_ankle_angle,r_thigh_length,r_calf_length,l_thigh_length,l_calf_length,hip_width,r_knee_flexion,l_knee_flexion,r_quad_width,r_calf_width,l_quad_width,l_calf_width
81,154.08572967804278,150.38919156703173,165.84751511939052,156.47288432970572,154.97119484225706,164.10068751412277,0.3573686450997391,0.3703480216685007,0.3910620928655663,0.36880094733020385,0.2155950794684237,131.4601761414521,128.27418429773206,0.12729938115462916,0.1059392788491707,0.12284023787167085,0.09651534766850399
82,154.17278285490636,150.24335042386747,166.33323044760468,157.3316762584606,155.13525639137714,163.61652992686214,0.3578396864491693,0.3701645590953144,0.39441896838750923,0.37176024966740995,0.2152230509355676,131.45532498335987,127.78926715408468,0.12571016198821017,0.10647804460154503,0.11984017282793549,0.10071157660180192
83,153.43085695786795,151.4324208351278,166.99874211350823,156.2604878052255,156.59363788824754,164.6659261585825,0.35820421372760947,0.36841709505591813,0.396971176872798,0.3750734791637166,0.21477235942608983,131.6411945538589,126.21285644185485,0.12380169419535757,0.10717041656452243,0.11854066015989617,0.10473287305314827
84,152.87481585874377,151.53455913660818,167.383144192583,156.1417563927586,156.57579469809394,165.10187582466597,0.3594391294251843,0.36923780040693877,0.3977801427375916,0.37814142313654897,0.2139606141893882,131.94772959313195,125.24109530521042,0.12351467397571714,0.10732571310434615,0.11581746037094184,0.11099344832013402
85,152.02634927819508,151.33228933738167,167.57839217694345,155.05381970982378,156.33329885291366,164.11998922790738,0.36254702907545316,0.36898101709728354,0.3978439603448716,0.38138361418420047,0.21321549856017621,131.34003781115484,124.03887489854503,0.12356111518618987,0.10705992896106419,0.1133177172952866,0.11500430685126216
86,147.71358024205153,149.24854699895306,167.1142154604616,154.51335183824412,156.94003354815132,164.2925702270456,0.3759950479790495,0.36362036286852667,0.39773033907291355,0.37871627597725327,0.21184661215405765,130.45744402326318,123.10992663329239,0.12534468595355755,0.10621586316058036,0.1150488429187526,0.11588049548132667
87,146.2544797584676,148.03003256195873,166.76452747865704,152.52561498552146,156.40107156662822,165.979361923958,0.38095188659309775,0.3606594819421732,0.39634902805655303,0.3784739117484679,0.2117169200219692,130.36491043122354,120.14566678163453,0.12561874216844549,0.10564658272122426,0.11650537470914608,0.11582605060463992
88,145.79093455711907,148.48190082837345,167.1100553644273,150.60594343968194,153.17769324833813,166.00306212457463,0.3769686578449632,0.35497619226058835,0.3980174609342451,0.3751107059273015,0.21273619411495154,130.01663603020455,116.95404711187626,0.12328339364811437,0.10529475398705178,0.11668771474566975,0.11582269634123674
89,145.88389523112875,148.7667611118883,167.34741619163043,149.79508477561725,149.95768197083117,167.36404287285544,0.37404265094517986,0.3534086791682321,0.40173577086649187,0.37037009074297544,0.21265366688823503,128.94237111439128,114.80355872393274,0.12520607954584206,0.10188314383622361,0.11927734349439881,0.11662156036270797
90,142.4442018916289,147.04066085273405,166.81612172357617,146.7932796292761,148.61057638951436,167.3022829237004,0.37492542224526565,0.35104865072119235,0.40318539299048434,0.3657169958075061,0.21318070632709799,126.2685791058076,112.5087100781127,0.126082554016086,0.10110301542375438,0.12183536032021305,0.11652386910217287
